INPUT VALUES: 
m: 1, c: 0.045, k: 2.2
a_1: -1.95, a_2: -2, a_3: 1.75
w_1: 0.055, w_2: 1.05, w_3: 2.05
Time, Displacement, Velocity, Acceleration 
19.2, -3.676162808, -2.735945358, 6.323713436
19.3, -3.917415958, -2.082727364, 6.707959453
19.4, -4.091754103, -1.400919297, 6.895403076
19.5, -4.197300459, -0.7101190303, 6.888841828
19.6, -4.234112706, -0.02930682009, 6.697752153
19.7, -4.204088714, 0.6237949899, 6.337697298
19.8, -4.110811601, 1.233291504, 5.829509663
19.9, -3.959342243, 1.785593309, 5.198285462
20, -3.755969278, 2.269786441, 4.472236723
20.1, -3.507928021, 2.677882502, 3.681450901
20.2, -3.22310066, 3.004942328, 2.856611511
20.3, -2.909710479, 3.249072039, 2.027733977
20.4, -2.576022704, 3.41129564, 1.222969473
20.5, -2.230063895, 3.495313481, 0.4675258695
20.6, -1.879370636, 3.507160493, -0.2172508222
20.7, -1.530776676, 3.454782132, -0.8145985595
20.8, -1.190245729, 3.347549103, -1.312837941
20.9, -0.8627548964, 3.195734129, -1.705630438
21, -0.552231288, 3.009975242, -1.991989799
21.1, -0.2615419686, 2.800750129, -2.176051062
21.2, 0.007465076084, 2.577885118, -2.266612117
21.3, 0.2538735138, 2.350120385, -2.276472532
21.4, 0.4775713653, 2.124750066, -2.221603011
21.5, 0.6790920999, 1.907352217, -2.120185967
21.6, 0.859433684, 1.701619284, -1.991572973
21.7, 1.019865967, 1.509294939, -1.855208184
21.8, 1.161737125, 1.330218191, -1.729567882
21.9, 1.286289734, 1.162470669, -1.631165241
22, 1.394496377, 1.002618255, -1.573666148
22.1, 1.486923597, 0.8460338492, -1.567156688
22.2, 1.563631496, 0.6872843809, -1.617595866
22.3, 1.624114426, 0.5205621944, -1.726478697
22.4, 1.667286131, 0.3401389218, -1.890725191
22.5, 1.691510452, 0.1408188958, -2.102800534
22.6, 1.694676376, -0.08163084237, -2.351061307
22.7, 1.674314013, -0.3300958579, -2.620312302
22.8, 1.627745923, -0.6057948445, -2.892548949
22.9, 1.552266414, -0.9080423064, -3.147851854
23, 1.445339894, -1.234106636, -3.365392933
23.1, 1.304808254, -1.579172495, -3.524507336
23.2, 1.129096605, -1.936411639, -3.605782116
23.3, 0.9174065291, -2.297161357, -3.592111434
23.4, 0.6698863162, -2.651204699, -3.4696692
23.5, 0.3877685238, -2.987141913, -3.228753264
23.6, 0.0734664315, -3.292838154, -2.864460543
23.7, -0.2693773243, -3.555928826, -2.377159545
23.8, -0.6358946404, -3.764360968, -1.772735337
23.9, -1.0200508, -3.906947076, -1.062591742
24, -1.414758305, -3.973906773, -0.2634060271
24.1, -1.812043245, -3.957371769, 0.6033578893
24.2, -2.203259336, -3.851830726, 1.5121611
24.3, -2.579342554, -3.654492776, 2.43429963
24.4, -2.931097274, -3.365551585, 3.338977128
24.5, -3.249503236, -2.988335764, 4.194497318
24.6, -3.526031454, -2.529336069, 4.969527537
24.7, -3.752956465, -1.998104859, 5.634380982
24.8, -3.923652158, -1.407028634, 6.162263784
24.9, -4.032858738, -0.7709798538, 6.530433846
25, -4.0769093, -0.1068593813, 6.721221363
25.1, -4.053905818, 0.5669543088, 6.722866167
25.2, -3.963836236, 1.231228892, 6.530134092
25.3, -3.808626504, 1.86655129, 6.144683349
25.4, -3.592123906, 2.454024077, 5.575161931
25.5, -3.320010741, 2.975957787, 4.837027994
25.6, -2.99965011, 3.416531501, 3.952096512
25.7, -2.639868368, 3.76239498, 2.947826838
25.8, -2.250681323, 4.003187609, 1.856376566
25.9, -1.842973609, 4.131952479, 0.7134569421
26, -1.42814267, 4.145427871, -0.4429664811
26.1, -1.017720274, 4.044203149, -1.574077556
26.2, -0.6229855661, 3.832731343, -2.641662528
26.3, -0.2545841416, 3.519196359, -3.609554769
26.4, 0.07783246696, 3.115238543, -4.445013614
26.5, 0.365933145, 2.635547973, -5.119981908
26.6, 0.602986859, 2.097340209, -5.612171387
26.7, 0.7840848114, 1.519733981, -5.905931671
26.8, 0.9062964291, 0.9230543423, -5.992867063
26.9, 0.9687530359, 0.3280878557, -5.872175357
27, 0.9726558361, -0.2446815244, -5.550693865
27.1, 0.9212077503, -0.7758263623, -5.042649578
27.2, 0.8194715939, -1.24769019, -4.36912226
27.3, 0.6741599518, -1.645034709, -3.557240752
27.4, 0.4933647594, -1.95559454, -2.639143569
27.5, 0.2862369499, -2.170517895, -1.650744353
27.6, 0.06262847334, -2.284676035, -0.6303506269
27.7, -0.1672895463, -2.296829512, 0.3828097376
27.8, -0.393417828, -2.209644853, 1.350096209
27.9, -0.6061140998, -2.029561256, 2.234937899
28, -0.7965576368, -1.766512766, 3.004231957
28.1, -0.9570792371, -1.433517129, 3.629602899
28.2, -1.08144408, -1.046147761, 4.088473344
28.3, -1.165076797, -0.6219098493, 4.364904208
28.4, -1.205220381, -0.1795453703, 4.450171737
28.5, -1.201023176, 0.2617054746, 4.343059342
28.6, -1.153551051, 0.6828572607, 4.049853694
28.7, -1.065724778, 1.065917168, 3.584046422
28.8, -0.9421856051, 1.394578758, 2.965754562
28.9, -0.789094781, 1.65484471, 2.220884151
29, -0.6138753833, 1.83555447, 1.380071586
29.1, -0.4249069884, 1.928796702, 0.4774461449
29.2, -0.231185522, 1.930191132, -0.4507359113
29.3, -0.04196189979, 1.839029662, -1.367530359
29.4, 0.1336261981, 1.658272338, -2.236759158
29.5, 0.2869149271, 1.394399588, -3.024421475
29.6, 0.410053189, 1.057127859, -3.700005426
29.7, 0.4963067799, 0.659001225, -4.237648725
29.8, 0.5403162062, 0.2148764164, -4.617102939
29.9, 0.5382985577, -0.2586771878, -4.824464278
30, 0.4881861519, -0.7440377837, -4.852643642
30.1, 0.3896972639, -1.223224604, -4.701559444
30.2, 0.2443370171, -1.678596542, -4.378048157
30.3, 0.05532932335, -2.093527935, -3.895499095
30.4, -0.172516488, -2.453034741, -3.273231175
30.5, -0.432998146, -2.744326613, -2.535639799
30.6, -0.7187635176, -2.957263696, -1.711151226
30.7, -1.021593871, -3.084701077, -0.8310293318
30.8, -1.332715437, -3.122708624, 0.07191460689
30.9, -1.643126404, -3.070659194, 0.9646550009
31, -1.94392607, -2.931183709, 1.815272496
31.1, -2.226632989, -2.709997064, 2.594207648
31.2, -2.483479611, -2.415604169, 3.275396695
31.3, -2.707672112, -2.058900232, 3.837243817
31.4, -2.893605702, -1.65268362, 4.263391568
31.5, -3.037027752, -1.211103041, 4.543259994
31.6, -3.13514335, -0.7490632344, 4.672334979
31.7, -3.186660421, -0.2816147708, 4.652197122
31.8, -3.191774107, 0.1766461115, 4.49029349
31.9, -3.152092698, 0.6121424972, 4.19946548
32, -3.070509792, 1.012823314, 3.797256255
32.1, -2.951029601, 1.368590899, 3.305030393
32.2, -2.798554167, 1.671632798, 2.746946108
32.3, -2.618642725, 1.916645316, 2.148826373
32.4, -2.417254458, 2.100941224, 1.536979178
32.5, -2.200486402, 2.224439096, 0.9370189647
32.6, -1.974318249, 2.289537019, 0.3727407714
32.7, -1.74437525, 2.300878394, -0.1349040566
32.8, -1.515719437, 2.265022256, -0.5686864989
32.9, -1.292677915, 2.190034599, -0.9157954114
33, -1.078715156, 2.08502056, -1.168320804
33.1, -0.8763541089, 1.959619746, -1.323505125
33.2, -0.6871486326, 1.823488476, -1.383753112
33.3, -0.5117073495, 1.685793099, -1.356401461
33.4, -0.3497666304, 1.554737902, -1.253260113
33.5, -0.200308136, 1.437149446, -1.089947041
33.6, -0.06171429391, 1.338136484, -0.8850474777
33.7, 0.06804666746, 1.260841157, -0.6591362609
33.8, 0.1912158657, 1.206292954, -0.4337079995
33.9, 0.3100297498, 1.173372246, -0.2300638498
34, 0.4265080143, 1.158885198, -0.06820565594
34.1, 0.5422544577, 1.157746787, 0.03421204888
34.2, 0.6582812257, 1.163263712, 0.0628241284
34.3, 0.7748658236, 1.167504381, 0.007347519353
34.4, 0.8914487928, 1.161739114, -0.1378125459
34.5, 1.006578091, 1.136930408, -0.3731717258
34.6, 1.117904065, 1.084250657, -0.6940107459
34.7, 1.222226572, 0.995603264, -1.090463884
34.8, 1.315593357, 0.8641227098, -1.547850373
34.9, 1.393446393, 0.6846297924, -2.047236626
35, 1.450810571, 0.4540199929, -2.566206954
35.1, 1.482517063, 0.1715656275, -3.07981114
35.2, 1.483451919, -0.1608839764, -3.561649173
35.3, 1.448819081, -0.5388157415, -3.985047164
35.4, 1.374406106, -0.9550861626, -4.324273976
35.5, 1.256840468, -1.400076136, -4.555745873
35.6, 1.093824441, -1.861963452, -4.659166435
35.7, 0.8843372078, -2.327103917, -4.618551201
35.8, 0.6287939789, -2.78050724, -4.423090899
35.9, 0.3291535339, -3.206389472, -4.06781352
36, -0.01103241979, -3.58878025, -3.554013586
36.1, -0.3866323378, -3.912160352, -2.88942653
36.2, -0.7910121166, -4.162103435, -2.088136621
36.3, -1.216175636, -4.32589516, -1.170217969
36.4, -1.652964988, -4.393103481, -0.1611193708
36.5, -2.091314249, -4.356075469, 0.9091853998
36.6, -2.520548345, -4.210338712, 2.00725024
36.7, -2.929716488, -3.954888956, 3.097371895
36.8, -3.307948102, -3.592350057, 4.142920107
36.9, -3.644817958, -3.128997353, 5.107729946
37, -3.930706653, -2.574641015, 5.957500459
37.1, -4.157142493, -1.942371582, 6.661142997
37.2, -4.317111339, -1.248175479, 7.192024128
37.3, -4.405322031, -0.5104336804, 7.529051897
37.4, -4.41841657, 0.2506785065, 7.657560158
37.5, -4.355116235, 1.013868404, 7.569953592
37.6, -4.216297227, 1.75745425, 7.26608546
37.7, -4.004992051, 2.460117133, 6.753350794
37.8, -3.726315735, 3.101647717, 6.046489134
37.9, -3.387318835, 3.663658923, 5.167102629
38, -2.996772041, 4.130236847, 4.142906793
38.1, -2.564889848, 4.488504535, 3.006742107
38.2, -2.103003148, 4.729076486, 1.795384343
38.3, -1.623192593, 4.846386029, 0.5481997472
38.4, -1.137896149, 4.838872615, -0.6943024374
38.5, -0.6595052475, 4.709021592, -1.891963365
38.6, -0.1999644385, 4.463254776, -3.006455207
38.7, 0.2296107087, 4.111676047, -4.002690727
38.8, 0.6192834051, 3.667681857, -4.850106354
38.9, 0.9606003519, 3.14745189, -5.523768319
39, 1.246840337, 2.569339794, -6.005258527
39.1, 1.473197889, 1.953187811, -6.2833057
39.2, 1.636895691, 1.319592093, -6.354137565
39.3, 1.73722226, 0.6891473279, -6.221541077
39.4, 1.775494265, 0.0817000488, -5.89662945
39.5, 1.75494583, -0.4843604922, -5.3973265
39.6, 1.680549944, -0.9927466159, -4.747590171
39.7, 1.558779723, -1.429827124, -3.976407512
39.8, 1.397319536, -1.785071967, -3.116602486
39.9, 1.204737879, -2.051370337, -2.203505329
40, 0.9901352556, -2.225211019, -1.273537589
40.1, 0.7627811692, -2.306719398, -0.36277009
40.2, 0.5317545942, -2.29955134, 0.4944881029
40.3, 0.3056019927, -2.210649879, 1.267013247
40.4, 0.09202606745, -2.04987614, 1.927850392
40.5, -0.1023829535, -1.829530888, 2.45531016
40.6, -0.2723635656, -1.563787385, 2.833740151
40.7, -0.4141390791, -1.268059633, 3.054041699
40.8, -0.5255084021, -0.9583325047, 3.11391337
40.9, -0.6058690858, -0.6504815295, 3.017813851
41, -0.6561729996, -0.3596103013, 2.776648514
41.1, -0.6788177582, -0.09943243884, 2.407195205
41.2, -0.6774796192, 0.1182770454, 1.931295507
41.3, -0.6568959107, 0.2841392267, 1.37484717
41.4, -0.622607026, 0.3915198419, 0.7666413768
41.5, -0.5806695733, 0.4367558869, 0.1370946386
41.6, -0.5373533143, 0.4192523633, -0.4830709009
41.7, -0.4988350437, 0.3414467897, -1.064143215
41.8, -0.4709025208, 0.2086446336, -1.578677233
41.9, -0.458680977, 0.0287341929, -2.002640661
42, -0.4663936199, -0.1882055662, -2.316401728
42.1, -0.4971659756, -0.4303863365, -2.505518714
42.2, -0.5528819407, -0.6848594885, -2.561299786
42.3, -0.6340971214, -0.9381086419, -2.4811115
42.4, -0.7400125385, -1.176660021, -2.268425083
42.5, -0.8685091589, -1.387684293, -1.932600768
42.6, -1.016241108, -1.559564168, -1.488421489
42.7, -1.178782918, -1.682403704, -0.9553978166
42.8, -1.350823885, -1.748457943, -0.3568755528
42.9, -1.526400652, -1.752465062, 0.2810143776
43, -1.699157543, -1.691867519, 0.9305176607
43.1, -1.862623084, -1.56691355, 1.563479352
43.2, -2.010490522, -1.380635528, 2.152574745
43.3, -2.136890083, -1.138707051, 2.672495371
43.4, -2.236641138, -0.8491858013, 3.101039309
43.5, -2.305473435, -0.5221541207, 3.420059361
43.6, -2.340207927, -0.1692735749, 3.616228905
43.7, -2.338889576, 0.1967265704, 3.681593269
43.8, -2.30086664, 0.562604295, 3.613883783
43.9, -2.226813303, 0.9151787413, 3.416581972
44, -2.118695017, 1.24189794, 3.098732144
44.1, -1.979678419, 1.531375547, 2.674511471
44.2, -1.813990106, 1.773873242, 2.162577114
44.3, -1.626730771, 1.961707856, 1.585219479
44.4, -1.423653138, 2.089565672, 0.9673590514
44.5, -1.21091369, 2.154710395, 0.335430922
44.6, -0.9948093076, 2.157075985, -0.2837940863
44.7, -0.7815105533, 2.099240577, -0.864400073
44.8, -0.576803477, 1.986282922, -1.382476423
44.9, -0.3858513964, 1.825527913, -1.81717756
45, -0.2129872136, 1.626192621, -2.151645696
45.1, -0.06154546043, 1.398948626, -2.373756111
45.2, 0.06625850013, 1.155420087, -2.476652158
45.3, 0.1693967889, 0.9076398674, -2.459046251
45.4, 0.2480418413, 0.6674878618, -2.325273237
45.5, 0.3035232236, 0.4461365411, -2.085093228
45.6, 0.3382303999, 0.2535284521, -1.75325184
45.7, 0.3554658305, 0.09790909525, -1.348816315
45.8, 0.3592550198, -0.0145637417, -0.894315772
45.9, 0.3541220766, -0.08011638368, -0.414722387
46, 0.3448409415, -0.09754763506, 0.06368263757
46.1, 0.3361735792, -0.06830000764, 0.5145093256
46.2, 0.3326070946, 0.003590224388, 0.9124733058
46.3, 0.3381018733, 0.1116629053, 1.234571366
46.4, 0.355862457, 0.247317333, 1.461166624
46.5, 0.3881419677, 0.4001975742, 1.576935363
46.6, 0.4360895114, 0.5586637551, 1.571633242
46.7, 0.4996481963, 0.7103294576, 1.44064609
46.8, 0.5775092499, 0.8426423083, 1.185299495
46.9, 0.6671253197, 0.9434827713, 0.8129115691
47, 0.76478348, 1.00175513, 0.3365840989
47.1, 0.8657358615, 1.007944722, -0.2252615376
47.2, 0.9643832779, 0.9546166818, -0.8495864407
47.3, 1.054504852, 0.8368336792, -1.509646731
47.4, 1.129524546, 0.6524733739, -2.176079926
47.5, 1.182803767, 0.4024303579, -2.818120884
47.6, 1.207947937, 0.09069209297, -3.404897214
47.7, 1.199114113, -0.2757164339, -3.906750335
47.8, 1.151306488, -0.686919138, -4.296526852
47.9, 1.060646916, -1.130500638, -4.55078573
48, 0.9246084276, -1.5919324, -4.650869845
48.1, 0.7422010568, -2.055097313, -4.583795761
48.2, 0.5141011123, -2.502892485, -4.342922787
48.3, 0.2427172364, -2.917886628, -3.928371255
48.4, -0.06781092266, -3.283005847, -3.347170142
48.5, -0.4116828907, -3.582220252, -2.613125187
48.6, -0.7815750832, -3.801203461, -1.746410158
48.7, -1.168841982, -3.927937932, -0.7728953214
48.8, -1.563774075, -3.953240998, 0.2767619353
48.9, -1.955903505, -3.87118948, 1.368229462
49, -2.334346322, -3.679424696, 2.464772322
49.1, -2.688168677, -3.379324362, 3.528634244
49.2, -3.00676319, -2.976033133, 4.522473698
49.3, -3.280221157, -2.478349201, 5.410797239
49.4, -3.499686342, -1.898470094, 6.161332641
49.5, -3.657676646, -1.251606482, 6.746286532
49.6, -3.748361124, -0.555478151, 7.143435743
49.7, -3.767781485, 0.1702889873, 7.337008147
49.8, -3.714009279, 0.9048418971, 7.318317156
49.9, -3.587232458, 1.626829434, 7.08612391
50, -3.389767706, 2.315153292, 6.64671216
50.1, -3.125997779, 2.949711875, 6.013672378
50.2, -2.802236019, 3.512108343, 5.207403396
50.3, -2.426523, 3.986295469, 4.254351213
50.4, -2.008362899, 4.359132454, 3.186015236
50.5, -1.558409497, 4.620832357, 2.03776156
50.6, -1.088113631, 4.76528314, 0.847490614
50.7, -0.6093453818, 4.790230406, -0.3457876768
50.8, -0.1340051972, 4.697315367, -1.50341446
50.9, 0.3263614945, 4.491967406, -2.588520189
51, 0.7609318424, 4.183156303, -3.567383518
51.1, 1.159941761, 3.783014803, -4.410657256
51.2, 1.514978528, 3.306347257, -5.094413333
51.3, 1.819219375, 2.770044546, -5.600966266
51.4, 2.067607866, 2.192429082, -5.919443759
51.5, 2.256962372, 1.592556302, -6.046083486
51.6, 2.386013683, 0.9895006414, -5.984246316
51.7, 2.455371623, 0.4016543249, -5.744147862
51.8, 2.467423344, -0.1539334211, -5.342321658
51.9, 2.426168643, -0.6621510184, -4.800838187
52, 2.337000086, -1.110330264, -4.146313757
52.1, 2.206437817, -1.488644171, -3.408751656
52.2, 2.04183059, -1.790382561, -2.62026456
52.3, 1.85103577, -2.012096178, -1.813731748
52.4, 1.642091669, -2.153605578, -1.021446953
52.5, 1.422895698, -2.21787668, -0.273812653
52.6, 1.200901358, -2.210770304, 0.4018657261
52.7, 0.9828460658, -2.140678184, 0.9824367695
52.8, 0.7745203635, -2.018062532, 1.449768851
52.9, 0.5805871407, -1.854920037, 1.791390659
53, 0.4044572471, -1.664194131, 2.000882089
53.1, 0.2482253983, -1.459161271, 2.078001745
53.2, 0.1126676465, -1.25281779, 2.028548482
53.3, -0.002700962614, -1.057293584, 1.863965611
53.4, -0.09951248664, -0.8833174725, 1.600707191
